Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,144,Sri Lanka,LKA,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,1,,548,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,152,Chile,CHL,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,11,,12360,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,611946,,3641613654,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,1293835,,13816746892,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,203,Czechia,CZE,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,3,,613,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,203,Czechia,CZE,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,6,,7026,,,4
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,208,Denmark,DNK,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,1,,1133,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,208,Denmark,DNK,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,13,,33745,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,233,Estonia,EST,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,3,,44158,,,4
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,246,Finland,FIN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,6,,20007,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,246,Finland,FIN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,269,,1462519,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,262,,1890831,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,410,,2473873,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,632,,3219821,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,14474,,43384750,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,44623,,153137037,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,1170452,,7440206936,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,348,Hungary,HUN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,37,,23980,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,348,Hungary,HUN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,216,,868501,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,352,Iceland,ISL,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,0,,2200,,,4
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,360,Indonesia,IDN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,1204,,950230,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,360,Indonesia,IDN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,14599,,20379337,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,364,Iran,IRN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,4,,583,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,372,Ireland,IRL,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,33,,8501,,,4
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,376,Israel,ISR,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,525,,1340584,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,376,Israel,ISR,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,126,,464685,,,4
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,381,Italy,ITA,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,15,,1325,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,381,Italy,ITA,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,14,,31433,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,384,Côte d'Ivoire,CIV,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,1,,111,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,142834,,949455658,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,94851,,574129734,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,404,Kenya,KEN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,6,,1065,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,422,Lebanon,LBN,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,6,,12480,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,428,Latvia,LVA,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,103,,159908,,,4
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,440,Lithuania,LTU,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,4,,75356,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,458,Malaysia,MYS,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,3991,,3804114,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,458,Malaysia,MYS,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,12904,,73773180,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,470,Malta,MLT,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,57,,149292,,,4
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,484,Mexico,MEX,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,545,,765131,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,484,Mexico,MEX,,,,,,,,854232,Electronic integrated circuits; memories,1,No Quantity,,,,,319,,2811033,,,0
